[2019-08-08 21:07:43] ['中间道路西', '北侧道路西', '北侧道路东']
[2019-08-08 22:49:36] ['北侧道路西', '北侧道路东', '中间道路西']
[2019-08-08 22:50:52] ['中间道路西', '北侧道路东', '北侧道路西']
[2019-08-08 22:51:27] ['中间道路西', '北侧道路东', '北侧道路西']
[2019-08-08 22:52:01] ['北侧道路东', '中间道路西', '北侧道路西']
[2019-08-08 23:00:05] ['北侧道路东', '中间道路西', '北侧道路西']
[2019-08-08 23:04:58] ['中间道路西', '北侧道路东', '北侧道路西']
[2019-08-08 23:06:12] ['北侧道路西', '北侧道路东', '中间道路西']
[2019-08-08 23:06:46] ['北侧道路东', '北侧道路西', '中间道路西']
[2019-08-08 23:07:21] ['北侧道路东', '北侧道路西', '中间道路西']
[2019-08-08 23:07:55] ['北侧道路西', '北侧道路东', '中间道路西']
[2019-08-08 23:08:30] ['北侧道路西', '北侧道路东', '中间道路西']
[2019-08-08 23:09:04] ['北侧道路东', '中间道路西', '北侧道路西']
[2019-08-08 23:09:39] ['北侧道路西', '中间道路西', '北侧道路东']
[2019-08-08 23:10:13] ['中间道路西', '北侧道路东', '北侧道路西']
[2019-08-08 23:10:48] ['中间道路西', '北侧道路东', '北侧道路西']
[2019-08-08 23:11:22] ['北侧道路东', '北侧道路西', '中间道路西']
[2019-08-08 23:11:57] ['中间道路西', '北侧道路西', '北侧道路东']
[2019-08-08 23:12:31] ['北侧道路东', '北侧道路西', '中间道路西']
[2019-08-08 23:13:06] ['北侧道路西', '中间道路西', '北侧道路东']
[2019-08-08 23:13:40] ['北侧道路东', '中间道路西', '北侧道路西']
[2019-08-08 23:14:15] ['北侧道路西', '北侧道路东', '中间道路西']
[2019-08-08 23:14:49] ['中间道路西', '北侧道路西', '北侧道路东']
[2019-08-08 23:15:24] ['北侧道路西', '中间道路西', '北侧道路东']
[2019-08-08 23:15:58] ['北侧道路西', '北侧道路东', '中间道路西']
[2019-08-08 23:16:33] ['北侧道路西', '北侧道路东', '中间道路西']
